stock_name,ts_code,source_file,start_date,end_date,short_window,long_window,initial_capital,final_equity,cumulative_return,benchmark_return,excess_return_vs_benchmark,annualized_return,annualized_volatility,max_drawdown,sharpe_ratio,buy_signals,sell_signals,trade_signals,completed_round_trips,round_trip_win_rate,average_round_trip_return,exposure_ratio,fee_rate
三一重工,600031.SH,TASK2/三一重工行情数据.csv,2025-01-02,2025-07-16,5,15,100000.0,123439.56864651355,0.23439568646513553,0.18642993024730492,0.04796575621783061,0.5088813758378843,0.19197346655742173,-0.08219566708314774,2.2383659183082742,4,3,7,3,0.3333333333333333,0.06483015466053706,0.5503875968992248,0.001
三一重工,600031.SH,TASK2/三一重工行情数据.csv,2025-01-02,2025-07-16,10,30,100000.0,94398.85892823066,-0.05601141071769333,0.18642993024730492,-0.24244134096499825,-0.10649327246892049,0.1629025854147335,-0.18802101512530478,-0.6099973436596544,3,2,5,2,0.5,-0.017999619982035475,0.3953488372093023,0.001
三一重工,600031.SH,TASK2/三一重工行情数据.csv,2025-01-02,2025-07-16,20,60,100000.0,97495.07574345551,-0.02504924256544483,0.18642993024730492,-0.21147917281274975,-0.0483488089704448,0.1468943524034678,-0.06793300000000002,-0.26400503838886796,1,1,2,1,0.0,-0.025036649214659756,0.2558139534883721,0.001
平安银行,000001.SZ,TASK2/平安集团行情数据.csv,2024-01-02,2025-07-17,5,15,100000.0,109285.87713005433,0.09285877130054332,0.36699239956568674,-0.2741336282651434,0.061998806404063744,0.19849379916075577,-0.2023650127386608,0.40125065844016755,19,18,37,18,0.2777777777777778,-0.0007412830110065412,0.5618279569892473,0.001
平安银行,000001.SZ,TASK2/平安集团行情数据.csv,2024-01-02,2025-07-17,10,30,100000.0,104890.41653570847,0.04890416535708475,0.36699239956568674,-0.318088234208602,0.03287279607433624,0.19012044759915564,-0.1544182522217432,0.2643250202575163,9,8,17,8,0.5,-0.005167068519307205,0.5376344086021505,0.001
平安银行,000001.SZ,TASK2/平安集团行情数据.csv,2024-01-02,2025-07-17,20,60,100000.0,82606.73403184753,-0.17393265968152472,0.36699239956568674,-0.5409250592472115,-0.12141322628303286,0.17540697471677083,-0.3123966742154495,-0.6489916518181833,6,5,11,5,0.0,-0.055208843278768696,0.49193548387096775,0.001
绿的谐波,688017.SH,TASK1/data/688017.SH_daily_20250629_20260629.csv,2025-06-30,2026-06-29,5,15,100000.0,204838.1805070946,1.048381805070946,1.8955080470814263,-0.8471262420104804,1.1099838390205945,0.5488010613672684,-0.2828196848264025,1.6312648098751714,6,6,12,6,0.6666666666666666,0.14787869925912095,0.7148760330578512,0.001
绿的谐波,688017.SH,TASK1/data/688017.SH_daily_20250629_20260629.csv,2025-06-30,2026-06-29,10,30,100000.0,275608.38852663356,1.7560838852663356,1.8955080470814263,-0.13942416181509065,1.8739971553381736,0.5663402343227549,-0.1881351217152024,2.14189904464665,3,2,5,2,1.0,0.2597761890229463,0.6198347107438017,0.001
绿的谐波,688017.SH,TASK1/data/688017.SH_daily_20250629_20260629.csv,2025-06-30,2026-06-29,20,60,100000.0,154497.68157664203,0.5449768157664203,1.8955080470814263,-1.350531231315006,0.572999771507259,0.5153215740106333,-0.2537338064196718,1.128559755945134,3,2,5,2,0.5,-0.0043744389074995005,0.49173553719008267,0.001
